2016-05-13 09:29:04 --->IP:      127.0.0.1(59047)用户注册<ID:zhangsan>
2016-05-13 09:29:12 --->IP:      127.0.0.1(59047)用户登陆<ID:zhangsan>
2016-05-13 09:29:41 --->IP:      127.0.0.1(59047)查看在线用户
2016-05-13 09:30:07 --->IP:      127.0.0.1(59048)用户注册<ID:lisi>
2016-05-13 09:30:12 --->IP:      127.0.0.1(59048)用户登陆<ID:lisi>
2016-05-13 09:30:37 --->IP:      127.0.0.1(59049)用户注册<ID:wangwu>
2016-05-13 09:30:41 --->IP:      127.0.0.1(59049)用户登陆<ID:wangwu>
2016-05-13 09:30:45 --->IP:      127.0.0.1(59049)查看在线用户
2016-05-13 09:31:02 --->IP:      127.0.0.1(59049)shell命令[ls]
2016-05-13 09:31:11 --->IP:      127.0.0.1(59049)shell命令[ls -al]
2016-05-13 09:31:16 --->IP:      127.0.0.1(59049)shell命令[ipcs]
2016-05-13 09:31:31 --->IP:      127.0.0.1(59049)shell命令[ifconfig]
2016-05-13 09:31:36 --->IP:      127.0.0.1(59049)shell命令[asdasdas]
2016-05-13 09:31:47 --->IP:      127.0.0.1(59049)shell命令[cd]
2016-05-13 09:32:29 --->IP:      127.0.0.1(59047)消息发送[zhangsan]>>>[lisi]123
2016-05-13 09:32:44 --->IP:      127.0.0.1(59047)消息发送[zhangsan]>>>[lisi]123
2016-05-13 09:33:01 --->IP:      127.0.0.1(59048)消息发送[lisi]>>>[zhangsan]123
2016-05-13 09:33:20 --->IP:      127.0.0.1(59047)消息发送[zhangsan]>>>[lisi]1
2016-05-13 09:33:28 --->IP:      127.0.0.1(59047)消息发送[zhangsan]>>>[lisi]12312312
2016-05-13 09:33:32 --->IP:      127.0.0.1(59047)消息发送[zhangsan]>>>[lisi]asa
2016-05-13 09:33:37 --->IP:      127.0.0.1(59048)消息发送[lisi]>>>[zhangsan]123456sdsd
2016-05-13 09:33:50 --->IP:      127.0.0.1(59048)消息发送[lisi]>>>[zhangsan]aweqwe
2016-05-13 09:34:47 --->IP:      127.0.0.1(59047)用户退出登陆<ID:zhangsan>
2016-05-13 09:34:50 --->IP:      127.0.0.1(59048)消息发送[lisi]>>>[zhangsan]asdas
2016-05-13 09:35:22 --->IP:      127.0.0.1(59048)消息发送[lisi]>>>[wangwu]123123
2016-05-13 09:35:33 --->IP:      127.0.0.1(59048)消息发送[lisi]>>>[wangwu]123213
2016-05-13 09:36:02 --->IP:      127.0.0.1(59049)客户端退出……
